CodigoProduto;NomeProduto;Comprimento;Largura;FC;FCConvertido;Custo;Material;Percentual;PrazoProducao
30.23.01.01.0002;FITA GOMADA 60 C/R LISA ;60;;;;6,645904721;ESP. IND;33;10
30.23.01.01.0003;FITA GOMADA 70 C/R LISA ;70;;;;6,654355089;ESP. IND;33;10
30.23.01.01.0004;FITA GOMADA 80 C/R LISA ;80;;;;6,645902828;ESP. IND;33;10
30.23.01.02.0001;FITA GOMADA 50 S/R LISA ;60;;;;6,305757615;ESP. IND;33;10
30.23.01.02.0002;FITA GOMADA 60 S/R LISA ;60;;;;6,305757615;ESP. IND;33;10
30.23.01.02.0003;FITA GOMADA 70 S/R LISA ;70;;;;6,314209876;ESP. IND;33;10
30.23.01.02.0004;FITA GOMADA 80 S/R LISA ;80;;;;6,305757615;ESP. IND;33;10
30.23.01.03.0001;FITA IMP GOMADA 60 C/R;60;;;;6,768521369;ESP. IND;33;10
30.23.01.03.0002;FITA IMP GOMADA 70 C/R;70;;;;6,776971737;ESP. IND;33;10
30.23.01.03.0003;FITA IMP GOMADA 80 C/R;80;;;;6,768519476;ESP. IND;33;10
30.23.01.03.0004;FITA IMP GOMADA 70 C/R + SELO DE SEGURANÇA;70;;;;6,776971737;ESP. IND;33;10
30.23.01.03.0005;FITA IMP GOMADA 80 C/R + SELO DE SEGURANÇA;80;;;;6,768519476;ESP. IND;33;10
30.23.01.04.0002;FITA IMP GOMADA 60 S/R;60;;;;6,428374263;ESP. IND;33;10
30.23.01.04.0003;FITA IMP GOMADA 70 S/R;70;;;;6,436826524;ESP. IND;33;10
30.23.01.04.0004;FITA IMP GOMADA 80 S/R;80;;;;6,428374263;ESP. IND;33;10
30.20.10.53.0002;"FITA TUDO STC FITASA 1""100X100 C/CABO LC3";;;;;3,458;small;20;10
30.20.10.53.0003;"FITA TUDO STC FITASA 1""100X100 S/CABO LC3";;;;;2,912;small;20;10
30.10.10.11.0010;FITA PP AA 40 HA 048X100 - M;100;48;4,8;;3,001800581;Fita PP;33;10
30.10.10.12.0027;FITA PP AA 40 TR 024X100 - M;100;24;2,4;;1,564232208;Fita PP;33;10
30.10.10.12.0031;FITA PP AA 40 TR 036X100 - M;100;36;3,6;;2,346348312;Fita PP;33;10
30.10.10.12.0039;FITA PP AA 40 TR 048X045 - M;45;48;2,16;;1,415544012;Fita PP;33;10
30.10.10.12.0040;FITA PP AA 40 TR 048X050 - M;50;48;2,4;;1,559367736;Fita PP;33;10
30.10.10.12.0044;FITA PP AA 40 TR 048X100 - M;100;48;4,8;;3,001800581;Fita PP;33;10
30.10.10.12.0046;FITA PP AA 40 TR 048X1200 - M;1200;48;57,6;;34,60386249;Fita PP;33;10
30.10.10.12.0055;FITA PP AA 40 TR 072X100 - M;100;72;7,2;;4,692696624;Fita PP;33;10
30.10.10.12.0073;FITA PP AA 40 TR 048X085 - PERSONALIZADA;85;48;4,08;;2,570329411;Fita PP;33;10
30.10.10.12.0089;FITA PP AA 40 TR 048X090 - M;90;48;4,32;;2,714153134;Fita PP;33;10
30.10.10.12.0099;FITA PP AA 40 TR 048X080 - M;80;48;3,84;;2,426505687;Fita PP;33;10
30.10.10.12.0109;FITA PP AA 40 TR 048X100 - PERSONALIZADA;100;48;4,8;;3,001800581;Fita PP;33;10
30.10.10.12.0129;FITA PP AA 40 TR 012X050 - M;50;12;0,6;;0,405805413;Fita PP;33;10
30.10.10.12.0144;FITA PP AA 40 TR 048X085 - M;85;48;4,08;;2,570329411;Fita PP;33;10
30.10.10.15.0090;FITA PP AR9 45 BR 144X1000 - M;1000;144;144;;110,2186397;Fita PP;33;10
30.10.10.18.0150;FITA PP AR9 45 TR 048X100 - M;100;48;4,8;;3,461064581;Fita PP;33;10
30.10.10.18.0153;FITA PP AR9 45 TR 048X1200 - M;1200;48;57,6;;40,11503049;Fita PP;33;10
30.10.10.18.0167;FITA PP AR9 45 TR 072X100 - M;100;72;7,2;;5,381592624;Fita PP;33;10
30.10.10.18.0184;FITA PP AR9 45 TR 144X1000 - M;1000;144;144;;100,5052061;Fita PP;33;10
30.10.10.18.0185;FITA PP AR9 45 TR 144X1200 - M;1200;144;172,8;;120,3450915;Fita PP;33;10
30.10.10.18.0196;FITA PP AR9 45 TR 048X085 - PERSONALIZADA;85;48;4,08;;2,960703811;Fita PP;33;10
30.10.20.13.0266;FITA PP AS 50 TR 048X100 - M;100;48;4,8;;5,426892118;Fita PP;33;10
30.10.20.13.0275;FITA PP AS 50 TR 072X100 - M;100;72;7,2;;8,330333929;Fita PP;33;10
30.10.30.13.0088;FITA PP HM 40 TR 048X100 - M;100;48;4,8;;3,992213381;Fita PP;33;10
30.10.30.13.0091;FITA PP HM 40 TR 048X1200 - M;1200;48;57,6;;46,48881609;Fita PP;33;10
30.10.30.13.0094;FITA PP HM 40 TR 072X100 - M;100;72;7,2;;6,178315824;Fita PP;33;10
30.10.30.16.0029;FITA PP HM 45 TR 048X100 - M;100;48;4,8;;4,366613381;Fita PP;33;10
30.10.30.16.0031;FITA PP HM 45 TR 048X1200 - M;1200;48;57,6;;50,98161609;Fita PP;33;10
30.10.30.16.0033;FITA PP HM 45 TR 048X1500 - M;1500;48;72;;63,61820518;Fita PP;33;10
30.10.10.11.0001;FITA PP AA 40 HA 024X050 - M;50;24;1,2;;0,811610827;Fita PP;33;10
30.10.10.11.0002;FITA PP AA 40 HA 024X100 - M;100;24;2,4;;1,564232208;Fita PP;33;10
30.10.10.11.0003;FITA PP AA 40 HA 036X100 - M;100;36;3,6;;2,346348312;Fita PP;33;10
30.10.10.11.0004;FITA PP AA 40 HA 048X030 - M;30;48;1,44;;0,984072841;Fita PP;33;10
30.10.10.11.0005;FITA PP AA 40 HA 048X040 - M;40;48;1,92;;1,271720289;Fita PP;33;10
30.10.10.11.0006;FITA PP AA 40 HA 048X045 - M;45;48;2,16;;1,415544012;Fita PP;33;10
30.10.10.11.0007;FITA PP AA 40 HA 048X050 - M;50;48;2,4;;1,559367736;Fita PP;33;10
30.10.10.11.0008;FITA PP AA 40 HA 048X080 - M;80;48;3,84;;2,426505687;Fita PP;33;10
30.10.10.11.0009;FITA PP AA 40 HA 048X090 - PERSONALIZADA;90;48;4,32;;2,714153134;Fita PP;33;10
30.10.10.11.0011;FITA PP AA 40 HA 048X1200 - M;1200;48;57,6;;34,60386249;Fita PP;33;10
30.10.10.11.0013;FITA PP AA 40 HA 072X050 - M;50;72;3,6;;2,43483248;Fita PP;33;10
30.10.10.11.0015;FITA PP AA 40 HA 072X100 - M;100;72;7,2;;4,692696624;Fita PP;33;10
30.10.10.11.0016;FITA PP AA 40 HA 072X1200 - M;1200;72;86,4;;54,69058712;Fita PP;33;10
30.10.10.11.0018;FITA PP AA 40 HA 096X100 - M;100;96;9,6;;6,254840832;Fita PP;33;10
30.10.10.11.0019;FITA PP AA 40 HA 144X100 - M;100;144;14,4;;9,005401744;Fita PP;33;10
30.10.10.11.0024;FITA PP AA 40 HA 018X100 - M;100;18;1,8;;1,173174156;Fita PP;33;10
30.10.10.11.0028;FITA PP AA 40 HA 048X090 - M;90;48;4,32;;2,714153134;Fita PP;33;10
