CodigoProduto;NomeProduto;Comprimento;Largura;FC;FCConvertido;Custo;Material
30.23.01.01.0002;FITA GOMADA 60 C/R LISA ;60;;;;6,329433067;ESP. IND
30.23.01.01.0003;FITA GOMADA 70 C/R LISA ;70;;;;6,337481037;ESP. IND
30.23.01.01.0004;FITA GOMADA 80 C/R LISA ;80;;;;6,329431265;ESP. IND
30.23.01.02.0001;FITA GOMADA 50 S/R LISA ;60;;;;6,005483443;ESP. IND
30.23.01.02.0002;FITA GOMADA 60 S/R LISA ;60;;;;6,005483443;ESP. IND
30.23.01.02.0003;FITA GOMADA 70 S/R LISA ;70;;;;6,013533215;ESP. IND
30.23.01.02.0004;FITA GOMADA 80 S/R LISA ;80;;;;6,005483443;ESP. IND
30.23.01.03.0001;FITA IMP GOMADA 60 C/R;60;;;;6,446210827;ESP. IND
30.23.01.03.0002;FITA IMP GOMADA 70 C/R;70;;;;6,454258797;ESP. IND
30.23.01.03.0003;FITA IMP GOMADA 80 C/R;80;;;;6,446209025;ESP. IND
30.23.01.03.0004;FITA IMP GOMADA 70 C/R + SELO DE SEGURANÇA;70;;;;6,454258797;ESP. IND
30.23.01.03.0005;FITA IMP GOMADA 80 C/R + SELO DE SEGURANÇA;80;;;;6,446209025;ESP. IND
30.23.01.04.0002;FITA IMP GOMADA 60 S/R;60;;;;6,122261203;ESP. IND
30.23.01.04.0003;FITA IMP GOMADA 70 S/R;70;;;;6,130310975;ESP. IND
30.23.01.04.0004;FITA IMP GOMADA 80 S/R;80;;;;6,122261203;ESP. IND
30.20.10.53.0002;"FITA TUDO STC FITASA 1""100X100 C/CABO LC3";;;;;2,064;small
30.20.10.53.0003;"FITA TUDO STC FITASA 1""100X100 S/CABO LC3";;;;;1,44;small
30.10.10.11.0010;FITA PP AA 40 HA 048X100 - M;100;48;4,8;;2,48718325;Fita PP
30.10.10.12.0027;FITA PP AA 40 TR 024X100 - M;100;24;2,4;;1,306923543;Fita PP
30.10.10.12.0031;FITA PP AA 40 TR 036X100 - M;100;36;3,6;;1,960385314;Fita PP
30.10.10.12.0039;FITA PP AA 40 TR 048X045 - M;45;48;2,16;;1,183966213;Fita PP
30.10.10.12.0040;FITA PP AA 40 TR 048X050 - M;50;48;2,4;;1,30205907;Fita PP
30.10.10.12.0044;FITA PP AA 40 TR 048X100 - M;100;48;4,8;;2,48718325;Fita PP
30.10.10.12.0046;FITA PP AA 40 TR 048X1200 - M;1200;48;57,6;;28,42845451;Fita PP
30.10.10.12.0055;FITA PP AA 40 TR 072X100 - M;100;72;7,2;;3,920770628;Fita PP
30.10.10.12.0073;FITA PP AA 40 TR 048X085 - PERSONALIZADA;85;48;4,08;;2,132904679;Fita PP
30.10.10.12.0089;FITA PP AA 40 TR 048X090 - M;90;48;4,32;;2,250997536;Fita PP
30.10.10.12.0099;FITA PP AA 40 TR 048X080 - M;80;48;3,84;;2,014811822;Fita PP
30.10.10.12.0109;FITA PP AA 40 TR 048X100 - PERSONALIZADA;100;48;4,8;;2,48718325;Fita PP
30.10.10.12.0129;FITA PP AA 40 TR 012X050 - M;50;12;0,6;;0,341478247;Fita PP
30.10.10.12.0144;FITA PP AA 40 TR 048X085 - M;85;48;4,08;;2,132904679;Fita PP
30.10.10.15.0090;FITA PP AR9 45 BR 144X1000 - M;1000;144;144;;90,42607008;Fita PP
30.10.10.18.0150;FITA PP AR9 45 TR 048X100 - M;100;48;4,8;;2,833737797;Fita PP
30.10.10.18.0153;FITA PP AR9 45 TR 048X1200 - M;1200;48;57,6;;32,58710908;Fita PP
