CodigoProduto;NomeProduto;Comprimento;Largura;FC;FCConvertido;Custo;Material;Percentual
20.20.10.10.0002;JUMBO 23 ATX(250) STRETCH FILME;KG;Bruto;1,7;50;6,115515166;Stretch;12
20.20.10.10.0003;JUMBO 23 ATX(250) PLUS;KG;Bruto;1,7;50;6,179539414;Stretch;12
20.20.10.11.0003;JUMBO 19 ATX(250) STRETCH FILME;KG;Bruto;1,7;50;6,160890345;Stretch;12
20.20.10.12.0004;JUMBO 30  ATX(250) STRETCH FILME;KG;Bruto;1,7;50;6,115515166;Stretch;12
20.20.10.13.0005;JUMBO 17 ATX(250) STRETCH FILME;KG;Bruto;1,7;50;6,248713271;Stretch;12
20.20.10.14.0006;JUMBO15 ATX(250) STRETCH FILME;KG;Bruto;1,7;50;6,588261213;Stretch;12
20.20.50.10.0002;JUMBO 15 MANUSTIF  500 MM;KG;Bruto;1,7;50;6,586456963;Stretch;12
20.20.40.11.0008;JUMBO 17 LC3(150) STRETCH FILME;KG;Bruto;1,7;50;6,124266163;Stretch;12
20.20.40.16.01;JUMBO 15 LC3(150) STRETCH FILME;KG;Bruto;1,7;50;6,463814104;Stretch;12
20.20.40.12.0006;JUMBO 19 LC3(150) STRETCH FILME;KG;Bruto;1,7;50;6,036443236;Stretch;12
20.20.40.13.0003;JUMBO 23 LC3(150) STRETCH FILME;KG;Bruto;1,7;50;5,991068058;Stretch;12
20.20.40.13.0009;JUMBO 25 LC3(150) STRETCH FILME;KG;Bruto;1,7;50;5,991068058;Stretch;12
20.20.40.13.0008;JUMBO 23 LC3(150) STRETCH FILME 55 KG;KG;Bruto;1,7;55;5,998725827;Stretch;12
20.20.40.14.0005;JUMBO 30 LC3(150) STRETCH FILME;KG;Bruto;1,7;50;5,991068058;Stretch;12
20.20.40.15.0003;JUMBO 40 LC3(150) STRETCH FILME;KG;Bruto;1,7;50;5,991068058;Stretch;12
20.20.60.10.0001;JUMBO 23 AT(200) STRETCH FILME;KG;Bruto;1,7;50;6,053291618;Stretch;12
20.20.60.10.0002;JUMBO 19 AT(200) STRETCH FILME;KG;Bruto;1,7;50;6,098666796;Stretch;12
20.20.60.10.0003;JUMBO 30 AT(200) STRETCH FILME;KG;Bruto;1,7;50;6,053291618;Stretch;12
30.20.10.14.0085;"STRETCH FIL. 3""500X13 MANUSTIF LEV";KG;Bruto;0,6;3,5;6,45633898;Stretch;12
30.20.10.14.0091;"STRETCH FIL. 3""430X10 MANUPREST SLIM  (2,5KG)";KG;Bruto;0,6;2,5;6,388922179;Stretch;12
30.20.10.14.0092;"STRETCH FIL. 3""500X13 MANUSTIF LEV LÍQUIDO";KG;Liq;0,6;3,5;6,45633898;Stretch;12
30.20.10.14.0094;"STRETCH FIL. 3""500X13 MANUSTIF GOLD (5KG)";KG;Bruto;1,1;5;6,409590886;Stretch;12
30.20.10.14.0095;"STRETCH FIL. 3""430X10 MANUPREST SLIM  (5KG)";KG;Bruto;0,9;5;6,446557759;Stretch;12
30.20.10.14.0096;"STRETCH FIL. 3""430X10 MANUPREST SLIM  (5KG) LIQ";KG;Liq;0,9;5;6,446557759;Stretch;12
30.20.10.14.0097;"STRETCH FIL. 3""500X13 MANUSTIF MAQ (11KG)";KG;Bruto;1,47;11;6,265597497;Stretch;12
30.20.10.14.0098;"STRETCH FIL. 3""430X10 MANUPREST SLIM  (3KG) LIQ";KG;Liq;0,6;3;6,427345899;Stretch;12
30.20.10.14.0099;"STRETCH FIL. 3""430X10 MANUPREST SLIM  (5KG) LIQUIDO/NETO";KG;Neto;0,9;5;6,446557759;Stretch;12
30.20.10.14.0100;"STRETCH FIL. 3""430X10 MANUPREST SLIM  (3KG) LIQUIDO/NETO";KG;Neto;0,6;3;6,427345899;Stretch;12
30.20.10.14.0101;"STRETCH FIL. 3""450X12 MANUSTIF PLUS LEV (2,5KG)";KG;Bruto;0,6;2,5;6,441425481;Stretch;12
30.20.10.16.0069;"STRETCH FIL. 3""500X23 MAN ESPECIAL LC2";KG;Bruto;1,47;4,5;5,466318899;Stretch;12
30.20.10.16.0999;"STRETCH FIL. 3""500 MAN ESPECIAL LC2";KG;Bruto;1,47;4,5;5,466318899;Stretch;12
30.20.10.19.0035;"STRETCH FIL. 3""500X17 MAQ ATX/11";KG;Bruto;1,47;11;5,998039456;Stretch;12
30.20.10.19.0037;"STRETCH FIL. 3""500X19 MAQ ATX/11";KG;Bruto;1,47;11;5,91021653;Stretch;12
30.20.10.19.0039;"STRETCH FIL. 3""500X23 MAQ ATX/11";KG;Bruto;1,47;11;5,864841351;Stretch;12
30.20.10.19.0041;"STRETCH FIL. 3""500X30 MAQ ATX/11";KG;Bruto;1,47;11;5,864841351;Stretch;12
30.20.10.19.0043;"STRETCH FIL. 3""500X40 MAQ ATX/11";KG;Bruto;1,47;11;5,864841351;Stretch;12
30.20.10.20.0001;"STRETCH FIL. 3""500X23 MAQ LC3/8";KG;Bruto;1,47;8;5,629072908;Stretch;12
30.20.10.20.0002;"STRETCH FIL. 3""500X30 MAQ LC3/8";KG;Bruto;1,47;8;5,629072908;Stretch;12
30.20.10.20.0003;"STRETCH FIL. 3""500X17 MAQ LC3/8";KG;Bruto;1,47;8;5,762271013;Stretch;12
30.20.10.20.0004;"STRETCH FIL. 3""500X19 MAQ LC3/8";KG;Bruto;1,47;8;5,674448087;Stretch;12
30.20.10.22.0034;"STRETCH FIL. 3""500X17 MAQ LC3/11";KG;Bruto;1,47;11;5,886428225;Stretch;12
30.20.10.22.0036;"STRETCH FIL. 3""500X19 MAQ LC3/11";KG;Bruto;1,47;11;5,798605299;Stretch;12
30.20.10.22.0038;"STRETCH FIL. 3""500X23 MAQ LC3/11";KG;Bruto;1,47;11;5,75323012;Stretch;12
30.20.10.22.0040;"STRETCH FIL. 3""500X30 MAQ LC3/11";KG;Bruto;1,47;11;5,75323012;Stretch;12
30.20.10.22.0042;"STRETCH FIL. 3""500X40 MAQ LC3/11";KG;Bruto;1,47;11;5,75323012;Stretch;12
30.20.10.22.0049;"STRETCH FIL. 3""500X40 MAQ LC3/8";KG;Bruto;1,47;8;5,629072908;Stretch;12
30.20.10.23.0001;"STRETCH FIL. 3""500X17 MAQ ATX/8";KG;Bruto;1,47;8;5,867426244;Stretch;12
30.20.10.23.0002;"STRETCH FIL. 3""500X19 MAQ ATX/8";KG;Bruto;1,47;8;5,779603317;Stretch;12
30.20.10.23.0003;"STRETCH FIL. 3""500X23 MAQ ATX/8";KG;Bruto;1,47;8;5,734228139;Stretch;12
30.20.10.23.0004;"STRETCH FIL. 3""500X30 MAQ ATX/8";KG;Bruto;1,47;8;5,734228139;Stretch;12
30.20.10.23.0006;"STRETCH FIL. 3""500X40 MAQ ATX/8";KG;Bruto;1,47;8;5,734228139;Stretch;12
30.20.10.25.0041;"STRETCH FIL. 3""150X19 CORTADO MAQ (3,3 KG)";KG;Bruto;0,36;3,3;6,279666358;Stretch;12
30.20.10.25.0042;"STRETCH FIL. 3""150X23 CORTADO MAQ (3,3 KG)";KG;Bruto;0,36;3,3;6,234291179;Stretch;12
30.20.10.25.0043;"STRETCH FIL. 3""100X23 CORTADO (MAQ)";KG;Bruto;0,24;3;6,258542336;Stretch;12
30.20.10.25.0045;"STRETCH FIL. 3""166X23 CORTADO MAQ (3,3 KG) ";KG;Bruto;0,4;3,3;6,22418653;Stretch;12
30.20.10.29.0002;"STRETCH FIL. 3""500X17 MAQ LC3/14 LÍQUIDO";KG;Liq;1,47;14;5,957375203;Stretch;12
30.20.10.29.0003;"STRETCH FIL. 3""500X19 MAQ LC3/14 LÍQUIDO";KG;Liq;1,47;14;5,869552277;Stretch;12
30.20.10.29.0004;"STRETCH FIL. 3""500X23 MAQ LC3/14 LÍQUIDO";KG;Liq;1,47;14;5,824177098;Stretch;12
30.20.10.29.0005;"STRETCH FIL. 3""500X30 MAQ LC3/14 LÍQUIDO";KG;Liq;1,47;14;5,824177098;Stretch;12
30.20.10.29.0006;"STRETCH FIL. 3""500X40 MAQ LC3/14 LÍQUIDO";KG;Liq;1,47;14;5,824177098;Stretch;12
30.20.10.31.0001;"STRETCH FIL. 3""500X15 MAQ ATX/14 LÍQUIDO";KG;Liq;1,47;14;6,412223519;Stretch;12
30.20.10.31.0002;"STRETCH FIL. 3""500X17 MAQ ATX/14 LÍQUIDO";KG;Liq;1,47;14;6,072675578;Stretch;12
30.20.10.31.0003;"STRETCH FIL. 3""500X19 MAQ ATX/14 LÍQUIDO";KG;Liq;1,47;14;5,984852651;Stretch;12
30.20.10.31.0004;"STRETCH FIL. 3""500X23 MAQ ATX/14 LÍQUIDO";KG;Liq;1,47;14;5,939477473;Stretch;12
30.20.10.31.0005;"STRETCH FIL. 3""500X30 MAQ ATX/14 LÍQUIDO";KG;Liq;1,47;14;5,939477473;Stretch;12
30.20.10.31.0006;"STRETCH FIL. 3""500X40 MAQ ATX/14 LÍQUIDO";KG;Liq;1,47;14;5,939477473;Stretch;12
30.20.10.31.0008;"STRETCH FIL. 3""500X30 MAQ ATX/14 LÍQ/NETO";KG;Neto;1,47;14;5,939477473;Stretch;12
30.20.10.31.0009;"STRETCH FIL. 3""500X23 MAQ ATX/14 LÍQ/NETO";KG;Neto;1,47;14;5,939477473;Stretch;12
30.20.10.31.0010;"STRETCH FIL. 3""500X13 MAQ ATX/14 LÍQUIDO";KG;Liq;1,47;14;6,441311787;Stretch;12
30.20.10.31.0011;"STRETCH FIL. 3""500X17 MAQ ATX/14 LÍQ/NETO";KG;Neto;1,47;14;6,072675578;Stretch;12
30.20.10.38.0001;"STRETCH FIL. 3""500X23 MAN LEV LIQ/NETO";KG;Neto;0,6;4,9;6,235103444;Stretch;12
30.20.10.38.0002;"STRETCH FIL. 3""500X19 MAN LEV LIQ/NETO";KG;Neto;0,6;4,9;6,280478622;Stretch;12
30.20.10.38.0003;"STRETCH FIL. 3""500X30 MAN LEV LIQ/NETO";KG;Neto;0,6;4,9;6,235103444;Stretch;12
30.20.10.39.0002;"STRETCH FIL. 3""500X19 MAQ ATX/16 LIQ/NETO";KG;Neto;1,47;16;6,019060874;Stretch;12
30.20.10.43.0001;"STRETCH FIL 3"" 500X19 MAQ LC3 CORELESS (8KG)";KG;Bruto;0;8;6,600423913;Stretch;12
