CodigoProduto;NomeProduto;Comprimento;FC;FCConvertido;Custo;Material;
30.10.10.11.0010;FITA PP AA 40 HA 048X100 - M;100;48; 4,80 ;6,33;ESP. IND;
30.10.10.12.0027;FITA PP AA 40 TR 024X100 - M;100;24; 2,40 ;6,34;ESP. IND;
30.10.10.12.0031;FITA PP AA 40 TR 036X100 - M;100;36; 3,60 ;6,33;ESP. IND;
30.10.10.12.0039;FITA PP AA 40 TR 048X045 - M;45;48; 2,16 ;6,01;ESP. IND;
30.10.10.12.0040;FITA PP AA 40 TR 048X050 - M;50;48; 2,40 ;6,01;ESP. IND;
30.10.10.12.0044;FITA PP AA 40 TR 048X100 - M;100;48; 4,80 ;6,01;ESP. IND;
30.10.10.12.0046;FITA PP AA 40 TR 048X1200 - M;1200;48; 57,60 ;6,01;ESP. IND;
30.10.10.12.0055;FITA PP AA 40 TR 072X100 - M;100;72; 7,20 ;6,45;ESP. IND;
30.10.10.12.0073;FITA PP AA 40 TR 048X085 - PERSONALIZADA;85;48; 4,08 ;6,45;ESP. IND;
30.10.10.12.0089;FITA PP AA 40 TR 048X090 - M;90;48; 4,32 ;6,45;ESP. IND;
30.10.10.12.0099;FITA PP AA 40 TR 048X080 - M;80;48; 3,84 ;6,45;ESP. IND;
30.10.10.12.0109;FITA PP AA 40 TR 048X100 - PERSONALIZADA;100;48; 4,80 ;6,45;ESP. IND;
30.10.10.12.0129;FITA PP AA 40 TR 012X050 - M;50;12; 0,60 ;6,12;ESP. IND;
30.10.10.12.0144;FITA PP AA 40 TR 048X085 - M;85;48; 4,08 ;6,13;ESP. IND;
30.10.10.15.0090;FITA PP AR9 45 BR 144X1000 - M;1000;144; 144,00 ;6,12;ESP. IND;
30.10.10.18.0150;FITA PP AR9 45 TR 048X100 - M;100;48; 4,80 ;2,06;small;
30.10.10.18.0153;FITA PP AR9 45 TR 048X1200 - M;1200;48; 57,60 ;1,44;small;
30.10.10.18.0167;FITA PP AR9 45 TR 072X100 - M;100;72; 7,20 ;2,49;Fita PP;
30.10.10.18.0184;FITA PP AR9 45 TR 144X1000 - M;1000;144; 144,00 ;1,31;Fita PP;
30.10.10.18.0185;FITA PP AR9 45 TR 144X1200 - M;1200;144; 172,80 ;1,96;Fita PP;
30.10.10.18.0196;FITA PP AR9 45 TR 048X085 - PERSONALIZADA;85;48; 4,08 ;1,18;Fita PP;
30.10.20.13.0266;FITA PP AS 50 TR 048X100 - M;100;48; 4,80 ;1,30;Fita PP;
30.10.20.13.0275;FITA PP AS 50 TR 072X100 - M;100;72; 7,20 ;2,49;Fita PP;
30.10.30.13.0088;FITA PP HM 40 TR 048X100 - M;100;48; 4,80 ;28,43;Fita PP;
30.10.30.13.0091;FITA PP HM 40 TR 048X1200 - M;1200;48; 57,60 ;3,92;Fita PP;
30.10.30.13.0094;FITA PP HM 40 TR 072X100 - M;100;72; 7,20 ;2,13;Fita PP;
30.10.30.16.0029;FITA PP HM 45 TR 048X100 - M;100;48; 4,80 ;2,25;Fita PP;
30.10.30.16.0031;FITA PP HM 45 TR 048X1200 - M;1200;48; 57,60 ;2,01;Fita PP;
30.10.30.16.0033;FITA PP HM 45 TR 048X1500 - M;1500;48; 72,00 ;2,49;Fita PP;
30.10.10.11.0001;FITA PP AA 40 HA 024X050 - M;50;24; 1,20 ;0,34;Fita PP;
30.10.10.11.0002;FITA PP AA 40 HA 024X100 - M;100;24; 2,40 ;2,13;Fita PP;
30.10.10.11.0003;FITA PP AA 40 HA 036X100 - M;100;36; 3,60 ;90,43;Fita PP;
30.10.10.11.0004;FITA PP AA 40 HA 048X030 - M;30;48; 1,44 ;2,83;Fita PP;
30.10.10.11.0005;FITA PP AA 40 HA 048X040 - M;40;48; 1,92 ;32,59;Fita PP;
30.10.10.11.0006;FITA PP AA 40 HA 048X045 - M;45;48; 2,16 ;4,44;Fita PP;
30.10.10.11.0007;FITA PP AA 40 HA 048X050 - M;50;48; 2,40 ;81,69;Fita PP;
30.10.10.11.0008;FITA PP AA 40 HA 048X080 - M;80;48; 3,84 ;97,76;Fita PP;
30.10.10.11.0009;FITA PP AA 40 HA 048X090 - PERSONALIZADA;90;48; 4,32 ;2,43;Fita PP;
30.10.10.11.0011;FITA PP AA 40 HA 048X1200 - M;1200;48; 57,60 ;4,41;Fita PP;
30.10.10.11.0013;FITA PP AA 40 HA 072X050 - M;50;72; 3,60 ;6,80;Fita PP;
30.10.10.11.0015;FITA PP AA 40 HA 072X100 - M;100;72; 7,20 ;4,06;Fita PP;
30.10.10.11.0016;FITA PP AA 40 HA 072X1200 - M;1200;72; 86,40 ;47,33;Fita PP;
30.10.10.11.0018;FITA PP AA 40 HA 096X100 - M;100;96; 9,60 ;6,28;Fita PP;
30.10.10.11.0019;FITA PP AA 40 HA 144X100 - M;100;144; 14,40 ;4,40;Fita PP;
30.10.10.11.0024;FITA PP AA 40 HA 018X100 - M;100;18; 1,80 ;51,41;Fita PP;
30.10.10.11.0028;FITA PP AA 40 HA 048X090 - M;90;48; 4,32 ;64,15;Fita PP;
30.10.10.11.0038;FITA PP AA 40 HA 036X100 - PERSONALIZADA;100;36; 3,60 ;0,68;Fita PP;
30.10.10.11.0046;FITA PP AA 40 HA 048X050 - PERSONALIZADA;50;48; 2,40 ;1,31;Fita PP;
30.10.10.11.0048;FITA PP AA 40 HA 048X080 - PERSONALIZADA;80;48; 3,84 ;1,96;Fita PP;
30.10.10.11.0057;FITA PP AA 40 HA 072X090 - M;90;72; 6,48 ;0,83;Fita PP;
30.10.10.11.0079;FITA PP AA 40 HA 045X040 - PERSONALIZADA;40;45; 1,80 ;1,07;Fita PP;
30.10.10.11.0081;FITA PP AA 40 HA 024X200 - M ;200;24; 4,80 ;1,18;Fita PP;
30.10.10.11.0084;FITA PP AA 40 HA 144X1200 - M (INV);1200;144; 172,80 ;1,30;Fita PP;
30.10.10.11.0085;FITA PP AA 40 HA 036X050 - PERSONALIZADA;50;36; 1,80 ;2,01;Fita PP;
30.10.10.11.0087;FITA PP AA 40 HA 048X085 - M;85;48; 4,08 ;2,25;Fita PP;
30.10.10.11.0083;FITA PP AA 40 HA 048X085 - PERSONALIZADA;85;48; 4,08 ;28,43;Fita PP;
30.10.10.12.0024;FITA PP AA 40 TR 018X050 - M;50;18; 0,90 ;2,05;Fita PP;
30.10.10.12.0025;FITA PP AA 40 TR 018X100 - M;100;18; 1,80 ;3,92;Fita PP;
30.10.10.12.0026;FITA PP AA 40 TR 024X050 - M;50;24; 1,20 ;45,43;Fita PP;
30.10.10.12.0030;FITA PP AA 40 TR 036X050 - M;50;36; 1,80 ;5,23;Fita PP;
30.10.10.12.0037;FITA PP AA 40 TR 048X030 - M;30;48; 1,44 ;7,46;Fita PP;
30.10.10.12.0038;FITA PP AA 40 TR 048X040 - M;40;48; 1,92 ;0,98;Fita PP;
30.10.10.12.0042;FITA PP AA 40 TR 048X080 - PERSONALIZADA;80;48; 3,84 ;2,25;Fita PP;
30.10.10.12.0043;FITA PP AA 40 TR 048X090 - PERSONALIZADA;90;48; 4,32 ;1,96;Fita PP;
30.10.10.12.0047;FITA PP AA 40 TR 048X1500 - M;1500;48; 72,00 ;1,30;Fita PP;
30.10.10.12.0053;FITA PP AA 40 TR 072X050 - M;50;72; 3,60 ;2,01;Fita PP;
30.10.10.12.0054;FITA PP AA 40 TR 072X090 - M;90;72; 6,48 ;3,55;Fita PP;
30.10.10.12.0057;FITA PP AA 40 TR 072X1200 - M;1200;72; 86,40 ;1,05;Fita PP;
30.10.10.12.0060;FITA PP AA 40 TR 096X100 - M;100;96; 9,60 ;2,56;Fita PP;
30.10.10.12.0065;FITA PP AA 40 TR 144X100 - M;100;144; 14,40 ;85,29;Fita PP;
30.10.10.12.0066;FITA PP AA 40 TR 144X1200 - M;1200;144; 172,80 ;1,02;Fita PP;
30.10.10.12.0078;FITA PP AA 40 TR 072X050 - PERSONALIZADA;50;72; 3,60 ;2,13;Fita PP;
30.10.10.12.0091;FITA PP AA 40 TR 036X090 - M;90;36; 3,24 ;2,13;Fita PP;
30.10.10.12.0101;FITA PP AA 40 TR 024X050 - PERSONALIZADA;50;24; 1,20 ;0,51;Fita PP;
30.10.10.12.0102;FITA PP AA 40 TR 024X100 - PERSONALIZADA;100;24; 2,40 ;0,98;Fita PP;
30.10.10.12.0105;FITA PP AA 40 TR 036X100 - PERSONALIZADA;100;36; 3,60 ;0,68;Fita PP;
30.10.10.12.0108;FITA PP AA 40 TR 048X040 - PERSONALIZADA;40;48; 1,92 ;1,02;Fita PP;
30.10.10.12.0110;FITA PP AA 40 TR 048X045 - PERSONALIZADA;45;48; 2,16 ;0,83;Fita PP;
30.10.10.12.0111;FITA PP AA 40 TR 048X050 - PERSONALIZADA;50;48; 2,40 ;1,07;Fita PP;
30.10.10.12.0128;FITA PP AA 40 TR 072X090 - PERSONALIZADA;90;72; 6,48 ;2,01;Fita PP;
30.10.10.12.0139;FITA PP AA 40 TR 045X040 - PERSONALIZADA;40;45; 1,80 ;2,25;Fita PP;
30.10.10.12.0140;FITA PP AA 40 TR 045X045 - PERSONALIZADA;45;45; 2,03 ;35,43;Fita PP;
30.10.10.12.0141;FITA PP AA 40 TR 045X100 - PERSONALIZADA;100;45; 4,50 ;2,05;Fita PP;
30.10.10.12.0161;FITA PP AA 40 TR 024X090 - M;90;24; 2,16 ;3,55;Fita PP;
30.10.10.13.0071;FITA PP AR9 45 AM 024X050 - M;50;24; 1,20 ;45,43;Fita PP;
30.10.10.13.0073;FITA PP AR9 45 AM 048X050 - M;50;48; 2,40 ;5,23;Fita PP;
30.10.10.13.0074;FITA PP AR9 45 AM 048X100 - M;100;48; 4,80 ;7,46;Fita PP;
30.10.10.13.0087;FITA PP AR9 45 AM 144X1000 - M;1000;144; 144,00 ;85,29;Fita PP;
30.10.10.14.0080;FITA PP AR9 45 AZ 024X100 - M;100;24; 2,40 ;2,05;Fita PP;
30.10.10.14.0081;FITA PP AR9 45 AZ 048X050 - M;50;48; 2,40 ;1,77;Fita PP;
30.10.10.14.0082;FITA PP AR9 45 AZ 048X100 - M;100;48; 4,80 ;0,68;Fita PP;
30.10.10.15.0086;FITA PP AR9 45 BR 048X050 - M;50;48; 2,40 ;1,31;Fita PP;
30.10.10.15.0087;FITA PP AR9 45 BR 048X100 - M;100;48; 4,80 ;1,96;Fita PP;
30.10.10.15.0088;FITA PP AR9 45 BR 048X1200 - M;1200;48; 57,60 ;1,07;Fita PP;
30.10.10.15.0092;FITA PP AR9 45 BR 144X1200 - M;1200;144; 172,80 ;1,18;Fita PP;
30.10.10.16.0095;FITA PP AR9 45 HA 024X100 - M;100;24; 2,40 ;1,30;Fita PP;
30.10.10.16.0097;FITA PP AR9 45 HA 036X100 - M;100;36; 3,60 ;3,55;Fita PP;
30.10.10.16.0101;FITA PP AR9 45 HA 048X050 - M;50;48; 2,40 ;1,05;Fita PP;
30.10.10.16.0106;FITA PP AR9 45 HA 048X100 - M;100;48; 4,80 ;1,17;Fita PP;
30.10.10.16.0110;FITA PP AR9 45 HA 072X100 - M;100;72; 7,20 ;2,46;Fita PP;
30.10.10.16.0116;FITA PP AR9 45 HA 144X1200 - M;1200;144; 172,80 ;1,18;Fita PP;
30.10.10.16.0135;FITA PP AR9 45 HA 048X090 - M;90;48; 4,32 ;0,84;Fita PP;
30.10.10.16.0143;FITA PP AR9 45 HA 072X100 - PERSONALIZADA;100;72; 7,20 ;1,62;Fita PP;
30.10.10.16.0151;FITA PP AR9 45 HA 018X100 - M;100;18; 1,80 ;3,13;Fita PP;
30.10.10.16.0152;FITA PP AR9 45 HA 048X045 - M;45;48; 2,16 ;90,43;Fita PP;
30.10.10.18.0263;FITA PP AR9 45 HA 048X045 - PERSONALIZADA;45;48; 2,16 ;1,63;Fita PP;
30.10.10.17.0119;FITA PP AR9 45 LJ 048X050 - M ;50;48; 2,40 ;1,62;Fita PP;
30.10.10.17.0120;FITA PP AR9 45 LJ 048X100 - M;100;48; 4,80 ;3,13;Fita PP;
30.10.10.18.0127;FITA PP AR9 45 TR 024X050 - M;50;24; 1,20 ;1,62;Fita PP;
30.10.10.18.0254;FITA PP AR9 45 TR 024X050 - PERSONALIZADA;50;24; 1,20 ;3,13;Fita PP;
30.10.10.18.0128;FITA PP AR9 45 TR 024X100 - M;100;24; 2,40 ;36,08;Fita PP;
30.10.10.18.0130;FITA PP AR9 45 TR 036X050 - M;50;36; 1,80 ;108,25;Fita PP;
30.10.10.18.0132;FITA PP AR9 45 TR 036X100 - M;100;36; 3,60 ;1,48;Fita PP;
